designation,bore_d,outer_d,width,load_rating,limiting_speed
12G-88128 TN9/GJN,,,,,
16002,15.0,32.0,8.0,5.85,32000.0
16002-2Z,15.0,32.0,8.0,5.85,26000.0
16002/C3,15.0,32.0,8.0,5.85,32000.0
16003,17.0,35.0,8.0,6.37,28000.0
16003-2Z,17.0,35.0,8.0,6.37,22000.0
16004,20.0,42.0,8.0,7.28,24000.0
16004/C3,20.0,42.0,8.0,7.28,24000.0
16005,25.0,47.0,8.0,8.06,20000.0
16005/C3,25.0,47.0,8.0,7.61,20000.0
16006,30.0,55.0,9.0,11.9,17000.0
16006/C3,30.0,55.0,9.0,11.9,17000.0
16007,35.0,62.0,9.0,13.0,15000.0
16007/C3,35.0,62.0,9.0,13.0,15000.0
16007/W64,35.0,62.0,9.0,13.0,6100.0
16008,40.0,68.0,9.0,13.8,14000.0
16008/C3,40.0,68.0,9.0,13.8,14000.0
16009,45.0,75.0,10.0,16.5,12000.0
16009/C3,45.0,75.0,10.0,16.5,12000.0
16010,50.0,80.0,10.0,16.8,11000.0
16010/C3,50.0,80.0,10.0,16.8,11000.0
16011,55.0,90.0,11.0,20.3,10000.0
16011/C3,55.0,90.0,11.0,20.3,10000.0
16012,60.0,95.0,11.0,20.8,9500.0
16013,65.0,100.0,11.0,22.5,9000.0
16013/C3,65.0,100.0,11.0,22.5,9000.0
16014,70.0,110.0,13.0,29.1,8000.0
16014/C3,70.0,110.0,13.0,29.1,8000.0
16015,75.0,115.0,13.0,30.2,7500.0
16015/C3,75.0,115.0,13.0,30.2,7500.0
16016,80.0,125.0,14.0,35.1,7000.0
16016/C3,80.0,125.0,14.0,35.1,7000.0
16017,85.0,130.0,14.0,35.8,6700.0
16017/C3,85.0,130.0,14.0,35.8,6700.0
16018,90.0,140.0,16.0,43.6,6300.0
16018/C3,90.0,140.0,16.0,43.6,6300.0
16019,95.0,145.0,16.0,44.9,6000.0
16019/C3,95.0,145.0,16.0,44.9,6000.0
16020,100.0,150.0,16.0,46.2,5600.0
16020/C3,100.0,150.0,16.0,46.2,5600.0
16021,105.0,160.0,18.0,54.0,5300.0
16021/C3,105.0,160.0,18.0,54.0,5300.0
16022,110.0,170.0,19.0,60.5,5000.0
16022/C3,110.0,170.0,19.0,60.5,5000.0
16024,120.0,180.0,19.0,63.7,4800.0
16024/C2,120.0,180.0,19.0,63.7,4800.0
16024/C3,120.0,180.0,19.0,63.7,4800.0
16026,130.0,200.0,22.0,83.2,4300.0
16026/C3,130.0,200.0,22.0,83.2,4300.0
16028,140.0,210.0,22.0,80.6,4000.0
16028/C3,140.0,210.0,22.0,80.6,4000.0
16030,150.0,225.0,24.0,92.2,3800.0
16030/C3,150.0,225.0,24.0,92.2,3800.0
16032,160.0,240.0,25.0,99.5,3600.0
16032/C3,160.0,240.0,25.0,99.5,3600.0
16034,170.0,260.0,28.0,119.0,3200.0
