#Chemical Compatibility Database
# Format: Chemical Material Name|Ratings (11 digits for FFKM|ETP|FKM|NBR|HNBR|EPDM|TFE\P|VQM|FVQM|AU|PTFE)
# Elastomer Material Price: 5|4|3|1|2|1|3|2|3|3|3
# Rating Scale:
# 5 = Good - The material has good chemical resistance
# 4 = Fair - Limited exposure may be acceptable
# 3 = Poor - Not recommended for continuous use
# 2 = Unsuitable - Should not be used with this chemical
# 1 = N/A - No data available
#
# Elastomer Types:
# FFKM  = Perfluoroelastomer
# ETP   = Fluoroelastomer (Viton Extreme)
# FKM   = Fluoroelastomer (Viton Type A)
# NBR   = Nitrile Butadiene Rubber
# HNBR  = Hydrogenated Nitrile Butadiene Rubber
# EPDM  = Ethylene Propylene Diene Monomer
# TFE\P = Tetrafluoroethylene Propylene (Aflas)
# VMQ   = Silicone Rubber
# FVMQ  = Fluorosilicone Rubber
# AU    = Polyester Urethane
# PTFE  = Polytetrafluoroethylene (Teflon)
#
ACETALDEHYDE|43223424225
ACETAMIDE|55455544525
ACETANILIDE|55333514521
ACETIC ACID AMIDE|53355544525
ACETIC ACID ETHYL ESTER|52224421115
ACETIC ACID METHYL ESTER|52222422225
ACETIC ACID, 25% TO 60%|54342515415
ACETIC ACID, 5%|55544555421
ACETIC ACID, 85%|51322111115
ACETIC ACID, GLACIAL|54244435225
ACETIC ALDEHYDE|42223424225
ACETIC ANHYDRIDE|53222443225
ACETIC ESTER|53222424225
ACETOACETIC ACID|53233514521
ACETOL|52222522225
ACETONE|54222522225
ACETONE CYANOHYDRIN|54233514521
ACETONITRILE|54233554521
ACETOPHENETIDINE|55544211431
ACETOPHENONE|53222522225
ACETOTOLUIDIDE|55544211431
ACETYL ACETONE|53222522221
ACETYL BENZENE|52222522225
ACETYL BROMIDE|55522542221
ACETYL CHLORIDE|55522253525
ACETYLENE|55555554525
ACETYLENE DICHLORIDE|55444211431
ACETYLENE TETRABROMIDE|55522552421
ACETYLENE TETRACHLORIDE|55522522425
ACETYLSALICYLIC ACID|55544211431
ACROLEIN|53233514521
ACRYIMIDE|53355544525
ACRYLIC ACID, ETHYL ESTER|52242322225
ACRYLONITRILE|53222242225
ADIPIC ACID|55455441515
AERO LUBRIPLATE|55555254551
AERO SHELL 17 GREASE|55555254551
AERO SHELL 1AC GREASE|55555254551
AERO SHELL 750|55544252421
AERO SHELL 7A GREASE|55544254551
AEROSAFE 2300|53222533321
AEROSAFE 2300W|53222543321
AEROZENE 50,50% HYDRAZINE 50% UDMH|43233542221
AIR BELOW 200°F|55555555555
AIR, 200 - 300° F|55533455531
AIR, 300 - 400° F|55522255521
AIR, 400 - 500° F|44322234221
AIR, OIL-CONTAINING|51555215555
ALIPHATIC DICARBOXYLIC ACID|55544211431
ALKANES|55555214551
ALKANESULFONIC   ACID|55555214551
ALKAZENE|55422242425
ALKENES|55544211431
ALKYL ACETONE|53233514521
ALKYL ALCOHOL|55255214551
ALKYL AMINE|54255214551
ALKYL ARYL   SULFONATES|55555214551
ALKYL ARYL   SULFONICS|55555214551
ALKYL BENZENE|55444211431
ALKYL CHLORIDE|55444211431
ALKYL   NAPHTHALENE SULFONIC ACID|55555214551
ALKYL   SULFIDE|55544211431
ALLYL ALCOHOL|51244511125
ALLYL CHLORIDE|54444541111
ALLYLIDENE   DIACETATE|54333514521
ALPHA PICOLINE|55333514521
ALUM POTASH|55244553321
ALUMINUM   ACETATE|53244552225
ALUMINUM   BROMIDE|55555555531
ALUMINUM   CHLORATE|55333514521
ALUMINUM   CHLORIDE|55555554535
ALUMINUM   FLUORIDE|55555554535
ALUMINUM   FORMATE|53233514521
ALUMINUM   HYDRATE|54444454111
ALUMINUM   HYDROXIDE|55544454111
ALUMINUM   LINOLEATE|55555214551
ALUMINUM   NITRATE|55555554135
ALUMINUM   OXALATE|55333514521
ALUMINUM   PHOSPHATE|55555555111
ALUMINUM   POTASSIUM SULFATE|55533514521
ALUMINUM SALTS|55555555531
ALUMINUM   SODIUM SULFATE|55533514521
ALUMINUM   SULFATE|55555555525
ALUMS|55555545215
AMBREX 33|55555252341
AMBREX 830|55555354551
AMINES MIXED   (ALLYL, ETHYL, ETC.)|53222444221
AMINO BENZENE|55422442325
AMINOBENZOIC   ACID|54422451111
AMINOETHANOL   (2-AMINOETHANOL)|52224414231
AMINOMETHANE|55222514525
AMINOPYRIDINE|52222431111
AMMONIA|42244544225
AMMONIA AND   LITHIUM METAL IN SOLUTION|22224422221
AMMONIA GAS,   COLD|54255555245
AMMONIA GAS,   HOT|54222445225
AMMONIA,   ANHYDROUS LIQUID|54244534221
AMMONIUM   ACETATE|53255514525
AMMONIUM   ARSENATE|55333514521
AMMONIUM   BENZOATE|55333514521
AMMONIUM   BICARBONATE|53233514521
AMMONIUM   BISULFITE|55333514521
AMMONIUM   BROMIDE|55555551151
AMMONIUM   CARBAMATE|55333514521
AMMONIUM   CARBONATE|55525553125
AMMONIUM   CHLORIDE|55555553225
AMMONIUM   CITRATE, DIBASIC|55333514521
AMMONIUM   DICHROMATE|55333514521
AMMONIUM   DIPHOSPHATE|55533514521
AMMONIUM   FLUORIDE|55555551155
AMMONIUM   FORMATE|55333514521
AMMONIUM   HYDROXIDE, 3 MOLAR|44355545521
AMMONIUM   HYDROXIDE, CONCENTRATED|55422555525
AMMONIUM   HYDROXIDE, GRADE 2|51433551111
AMMONIUM   IODIDE|55555551151
AMMONIUM   LACTATE|55333514521
AMMONIUM   METAPHOSPHATE|55333514521
AMMONIUM   MOLYBDENATE|55333514521
AMMONIUM   NITRATE|55555554315
AMMONIUM   NITRITE|55355544111
AMMONIUM   OXALATE|55333514521
AMMONIUM   PERCHLORATE|55333514521
AMMONIUM   PERSULFATE|55522552525
AMMONIUM   PHOSPHATE|55555545125
AMMONIUM   PHOSPHATE, DIBASIC|55555555111
AMMONIUM   PHOSPHATE, MONOBASIC|55555545111
AMMONIUM   PHOSPHATE, TRIBASIC|55555545111
AMMONIUM   PHOSPHITE|55333514521
AMMONIUM   PICRATE|55333514521
AMMONIUM   POLYSULFIDE|55333514521
AMMONIUM   SALICYLATE|55333514521
AMMONIUM SALTS|54355555311
AMMONIUM   SULFAMATE|53233514521
AMMONIUM   SULFATE|55455555525
AMMONIUM   SULFATE NITRATE|55255541111
AMMONIUM   SULFIDE|55455551125
AMMONIUM   SULFITE|55533514521
AMMONIUM   THIOCYANATE|55533514521
